titulo,precio,superficie,direccion,latitud,longitud,link
"Terreno en Venta, Misiones - Zonaprop",USD 15.000,433m²,"Martín Miguel de guemez y calle 61 posadas, Posadas, Misiones, Argentina., Los Paraísos, Posadas",-27.444355999999999,-55.887351000000002,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-terreno-en-venta-55241471.html
"Venta de Terreno Barrio Yvyrá Pytá. Posadas, Misiones, Misiones - Zonaprop",USD 55.000,311m²,"Calle 104 4800. Entre Calle 97 y Av. aguado, Posadas, Misiones",-27.392442400000000,-55.926033699999997,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-venta-de-terreno-barrio-yvyra-pyta.-posadas-misiones-54506902.html
"Tf787 - Terreno en Venta - Av Lopez Torres y Cmte. Rosales, Misiones - Zonaprop",USD 85.000,454m²,"Noruega, Posadas, Misiones",-27.395305199999999,-55.900315200000001,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-tf787-terreno-en-venta-av-lopez-torres-y-cmte.-56721506.html
"Tf694 - Terreno en Venta Z/ Av San Martín y Av López y Planes, Misiones - Zonaprop",USD 85.000,375m²,"Av. San Martín y Av. López y Planes, Posadas, Misiones",-27.372231299999999,-55.917277400000003,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-tf694-terreno-en-venta-z-av-san-martin-y-av-lopez-y-56851289.html
"Venta Lotes - Terrenos Finaciacion, Misiones - Zonaprop",$ 15.000.000,368m²,", Posadas, Misiones",-27.479707840344243,-55.864557786480879,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-venta-lotes-terrenos-finaciacion-46576324.html
"Tf741 - Terreno en Venta Z/ Hospital, Misiones - Zonaprop",USD 849.000,2437m²,"San Marcos, Posadas, Misiones",-27.388232099999999,-55.894790899999996,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-tf741-terreno-en-venta-z-hospital-55122954.html
"Venta Lote en Esquina Zona Urquiza y 115, Misiones - Zonaprop",$ 50.000.000,352m²,"Calle 111 & Brasil, N3301 Posadas, Misiones, Argentina, Posadas, Misiones, Argentina., Posadas, Misiones",-27.359226367269215,-55.928874796958915,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-venta-lote-en-esquina-zona-urquiza-y-115-56696552.html
"Terreno en Venta Costanera Posadas, Misiones - Zonaprop",USD 240.000,433m²,"Costanera de Posadas, Posadas, Misiones",-27.378999400000001,-55.885850599999997,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-terreno-en-venta-costanera-posadas-56584808.html
"Tf750 - Esquina Céntrica en Venta (Junín y Córdoba), Misiones - Zonaprop",USD 1.350.000,495m²,"Junín y Córdoba, Posadas, Misiones",-27.367472500000001,-55.897931200000002,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-tf750-esquina-centrica-en-venta-junin-y-cordoba-55412705.html
"Terreno en Venta, Misiones - Zonaprop",USD 73.500,468m²,"Gobernador Barreyro y Soria, Posadas, Misiones",-27.373860499999999,-55.919655599999998,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-terreno-en-venta-56202220.html
"Terreno en Venta Sobre Av Tacuari, Misiones - Zonaprop",USD 174.000,82m²,"TAMBOR DE TACUARI 2738, Posadas, Posadas",-27.370089400000000,-55.904040400000000,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-terreno-en-venta-sobre-av-tacuari-56242222.html
"Tf788 - Lotes en Venta - Av Las Heras y 20 de Junio, Misiones - Zonaprop",USD 52.500,467m²,"Av. Gral. las Heras y 20 de Junio, Posadas, Misiones",-27.370130400000000,-55.920825299999997,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-tf788-lotes-en-venta-av-las-heras-y-20-de-junio-56851166.html
"Terreno en Venta en Posadas, Misiones - Zonaprop",USD 40.000,380m²,"Calle Mahatma Gandhi & Discepolo, Posadas, Misiones, Argentina, Posadas, Misiones, Argentina., Posadas, Misiones",-27.406857699999999,-55.922592199999996,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-terreno-en-venta-en-posadas-56117826.html
"Terreno en Venta, Misiones - Zonaprop",USD 32.500,338m²,"Avenida Zapiola, Posadas, Misiones",-27.396468740799999,-55.931595467199997,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-terreno-en-venta-55521538.html
"Terreno en Venta Barrio Andres Guacurari, Misiones - Zonaprop",USD 69.000,504m²,"20 de Junio al 5000, Posadas, Misiones",-27.369715543499999,-55.926802456099999,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-terreno-en-venta-barrio-andres-guacurari-56846200.html
"Tf714 - Lote en Venta Z/ Bahía El Brete, Misiones - Zonaprop",USD 260.000,338m²,"Bahía El Brete, Posadas, Misiones",-27.355156399999998,-55.903318499999997,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-tf714-lote-en-venta-z-bahia-el-brete-56875381.html
"Gran Terreno en en Venta en Esquina Sobre Av Tomas Guido Ideal Para Duplex, Misiones - Zonaprop",USD 150.000,1000m²,"Av Tomas Guido al 5500, Posadas, Misiones",-27.397160605399999,-55.916922933000002,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-gran-terreno-en-en-venta-en-esquina-sobre-av-tomas-55795194.html
"En Venta Importante Lote en Exclusiva Zona de Posadas, Misiones - Zonaprop",No detectado,666m²,"AV. LUCAS BRAULIO ARECO . Entre Calle 22 y Calle 24, Posadas, Misiones",-27.355407103686360,-55.930420160293586,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-en-venta-importante-lote-en-exclusiva-zona-de-posadas-56666799.html
"Loteo Ita Pora, Misiones - Zonaprop",USD 33.000,No detectado,"ZAPIOLA Y QUARANTA , Luis Piedrabuena, Posadas",-27.401132400000000,-55.932748700000000,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-loteo-ita-pora-54277511.html
"Tf758 - Lote en Venta B° Las Tacuaritas, Misiones - Zonaprop",USD 45.000,1200m²,"C. 134, Posadas, Misiones",-27.401559699999999,-55.943418200000003,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-tf758-lote-en-venta-b-las-tacuaritas-55775680.html
"Venta de Lote 500 m² - Miguel Lanus, Av Peron, Misiones - Zonaprop",USD 70.000,56m²,"Av. Juan Domingo Perón, N3305 Posadas, Misiones, Argentina, Posadas, Misiones, Argentina., Miguel Lanús, Posadas",-27.431353888609567,-55.883391537588941,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-venta-de-lote-500-m-sup2--miguel-lanus-av-peron-56664022.html
"Venta de Lotes en Barrio Privado Panambi, Misiones - Zonaprop",USD 40.000,300m²,"Ruta 12 y avenida , Panambí Country Club, Posadas",-27.358763100000000,-55.930714300000000,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-venta-de-lotes-en-barrio-privado-panambi-54492234.html
"Tf769 - Loteo ""Ecos de Candelaria"", Misiones - Zonaprop",USD 7.000,346m²,"Candelaria, Posadas, Misiones",-27.452922399999998,-55.851992699999996,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-tf769-loteo-ecos-de-candelaria-56125969.html
"En Venta Excelente Terreno, Misiones - Zonaprop",USD 65.000,No detectado,"AV. CENTENARIO Y AV. SAN MARTIN , Posadas, Misiones",-27.365559500000000,-55.916266200000000,https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-en-venta-excelente-terreno-56618310.html
